"","powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE.median","ED.median","lifeform_description","accepted_plant_name_id","group"
"1","50426094-2","Burmanniaceae","Afrothismia","gesnerioides","Afrothismia gesnerioides","H.Maas","CR",42.55,47.17,"holomycotrophic rhizomatous geophyte",218436,"Angiosperms"
"2","84371-1","Araceae","Amorphophallus","interruptus","Amorphophallus interruptus","Engl. & Gehrm.","CR",40.26,43.08,"tuberous geophyte",8184,"Angiosperms"
"3","979845-1","Araceae","Amorphophallus","lanuginosus","Amorphophallus lanuginosus","Hett.","CR",46.08,52.6,"tuberous geophyte",8197,"Angiosperms"
"4","974641-1","Araceae","Amorphophallus","lewallei","Amorphophallus lewallei","Malaisse & Bamps","CR",46.89,50.86,"tuberous geophyte",8204,"Angiosperms"
"5","77122402-1","Araceae","Amorphophallus","natolii","Amorphophallus natolii","Hett., Wistuba, Amoroso, Medecilo & Claudel","CR",34.68,74.42,"tuberous geophyte",472551,"Angiosperms"
"6","1021618-1","Araceae","Amorphophallus","synandrifer","Amorphophallus synandrifer","Hett. & V.D.Nguyen","CR",45.59,51.86,"tuberous geophyte",8314,"Angiosperms"
"7","1151149-2","Gomortegaceae","Gomortega","keule","Gomortega keule","(Molina) Baill.","EN",38.01,78.38,"tree",385449,"Angiosperms"
"8","77111709-1","Olacaceae","Hondurodendron","urceolatum","Hondurodendron urceolatum","C.Ulloa, Nickrent, Whitef. & D.L.Kelly","CR",54.94,57.32,"tree",2904152,"Angiosperms"
"9","60426762-2","Triuridaceae","Kupea","jonii","Kupea jonii","Cheek","CR",40.15,45.89,"holomycotrophic perennial",292043,"Angiosperms"
"10","20012035-1","Triuridaceae","Kupea","martinetugei","Kupea martinetugei","Cheek & S.A.Williams","CR",40.12,46.2,"holomycotrophic perennial",279776,"Angiosperms"
"11","30011408-2","Rosaceae","Lyonothamnus","floribundus","Lyonothamnus floribundus","A.Gray","EN",31.66,65.32,"tree",2950356,"Angiosperms"
"12","77162940-1","Magnoliaceae","Magnolia","ofeliae","Magnolia ofeliae","A.Vázquez & Cuevas","CR",28.81,31.4,"tree",526145,"Angiosperms"
"13","77074665-1","Magnoliaceae","Magnolia","ovoidea","Magnolia ovoidea","(Hung T.Chang & B.L.Chen) V.S.Kumar","CR",29.31,34.4,"tree",344373,"Angiosperms"
"14","60433084-2","Magnoliaceae","Magnolia","pleiocarpa","Magnolia pleiocarpa","(Dandy) Figlar & Noot.","CR",28.97,32.95,"tree",252962,"Angiosperms"
"15","77143655-1","Magnoliaceae","Magnolia","sanchez-vegae","Magnolia sanchez-vegae","Marcelo-Peña","CR",29.2,33.26,"tree",491631,"Angiosperms"
"16","915250-1","Magnoliaceae","Magnolia","sinica","Magnolia sinica","(Y.W.Law) Noot.","CR",42.31,49.47,"tree",117833,"Angiosperms"
"17","77150281-1","Magnoliaceae","Magnolia","tiepii","Magnolia tiepii","V.T.Tran & Duy","CR",30.9,33.23,"tree",497168,"Angiosperms"
"18","153701-2","Burmanniaceae","Marthella","trinitatis","Marthella trinitatis","(Johow) Urb.","CR",32.07,36.84,"holomycotroph",254122,"Angiosperms"
"19","829118-1","Ochnaceae","Medusagyne","oppositifolia","Medusagyne oppositifolia","Baker","CR",46.78,53.43,"tree",2505963,"Angiosperms"
"20","271918-1","Torricelliaceae","Melanophylla","perrieri","Melanophylla perrieri","Keraudren","EN",29.05,60.17,"shrub or tree",274529,"Angiosperms"
"21","77114307-1","Olacaceae","Octoknema","belingensis","Octoknema belingensis","Gosline & Malécot","CR",31.06,34.33,"tree",2917042,"Angiosperms"
"22","608070-1","Olacaceae","Octoknema","klaineana","Octoknema klaineana","Pierre","CR",31.44,35,"tree",2400260,"Angiosperms"
"23","191150-2","Petenaeaceae","Petenaea","cordata","Petenaea cordata","Lundell","EN",28.84,57.32,"tree",519397,"Angiosperms"
"24","88417-1","Araceae","Pseudohydrosme","buettneri","Pseudohydrosme buettneri","Engl.","EN",31.46,82.17,"tuberous geophyte",166309,"Angiosperms"
"25","88418-1","Araceae","Pseudohydrosme","gabunensis","Pseudohydrosme gabunensis","Engl.","EN",36.83,75.9,"tuberous geophyte",166310,"Angiosperms"
