"","powo_id","family","genus","species","taxon_name","taxon_authors","Threat.status","EDGE","EDGE_rank","ED","ED_rank","lifeform_description","accepted_plant_name_id"
"1","50426094-2","Burmanniaceae","Afrothismia","gesnerioides","Afrothismia gesnerioides","H.Maas","CR",42.55,17,47.17,15,"holomycotrophic rhizomatous geophyte",218436
"2","84371-1","Araceae","Amorphophallus","interruptus","Amorphophallus interruptus","Engl. & Gehrm.","CR",40.26,8,43.08,33,"tuberous geophyte",8184
"3","979845-1","Araceae","Amorphophallus","lanuginosus","Amorphophallus lanuginosus","Hett.","CR",46.08,1,52.6,3,"tuberous geophyte",8197
"4","974641-1","Araceae","Amorphophallus","lewallei","Amorphophallus lewallei","Malaisse & Bamps","CR",46.89,23,50.86,14,"tuberous geophyte",8204
"5","77122402-1","Araceae","Amorphophallus","natolii","Amorphophallus natolii","Hett., Wistuba, Amoroso, Medecilo & Claudel","Threatened",34.68,12,74.42,17,"tuberous geophyte",472551
"6","1021618-1","Araceae","Amorphophallus","synandrifer","Amorphophallus synandrifer","Hett. & V.D.Nguyen","CR",45.59,5,51.86,22,"tuberous geophyte",8314
"7","1151149-2","Gomortegaceae","Gomortega","keule","Gomortega keule","(Molina) Baill.","EN",38.01,14,78.38,20,"tree",385449
"8","77111709-1","Olacaceae","Hondurodendron","urceolatum","Hondurodendron urceolatum","C.Ulloa, Nickrent, Whitef. & D.L.Kelly","CR",54.94,4,57.32,16,"tree",2904152
"9","60426762-2","Triuridaceae","Kupea","jonii","Kupea jonii","Cheek","CR",40.15,19,45.89,23,"holomycotrophic perennial",292043
"10","20012035-1","Triuridaceae","Kupea","martinetugei","Kupea martinetugei","Cheek & S.A.Williams","CR",40.12,13,46.2,91,"holomycotrophic perennial",279776
"11","30011408-2","Rosaceae","Lyonothamnus","floribundus","Lyonothamnus floribundus","A.Gray","EN",31.66,6,65.32,8,"tree",2950356
"12","77162940-1","Magnoliaceae","Magnolia","ofeliae","Magnolia ofeliae","A.Vázquez & Cuevas","CR",28.81,2,31.4,1,"tree",526145
"13","77074665-1","Magnoliaceae","Magnolia","ovoidea","Magnolia ovoidea","(Hung T.Chang & B.L.Chen) V.S.Kumar","CR",29.31,7,34.4,11,"tree",344373
"14","60433084-2","Magnoliaceae","Magnolia","pleiocarpa","Magnolia pleiocarpa","(Dandy) Figlar & Noot.","CR",28.97,24,32.95,2,"tree",252962
"15","77143655-1","Magnoliaceae","Magnolia","sanchez-vegae","Magnolia sanchez-vegae","Marcelo-Peña","CR",29.2,25,33.26,12,"tree",491631
"16","915250-1","Magnoliaceae","Magnolia","sinica","Magnolia sinica","(Y.W.Law) Noot.","CR",42.31,15,49.47,25,"tree",117833
"17","77150281-1","Magnoliaceae","Magnolia","tiepii","Magnolia tiepii","V.T.Tran & Duy","CR",30.9,16,33.23,7,"tree",497168
"18","153701-2","Burmanniaceae","Marthella","trinitatis","Marthella trinitatis","(Johow) Urb.","CR",32.07,22,36.84,6,"holomycotroph",254122
"19","829118-1","Ochnaceae","Medusagyne","oppositifolia","Medusagyne oppositifolia","Baker","CR",46.78,11,53.43,5,"tree",2505963
"20","271918-1","Torricelliaceae","Melanophylla","perrieri","Melanophylla perrieri","Keraudren","EN",29.05,9,60.17,18,"shrub or tree",274529
"21","77114307-1","Olacaceae","Octoknema","belingensis","Octoknema belingensis","Gosline & Malécot","CR",31.06,20,34.33,10,"tree",2917042
"22","608070-1","Olacaceae","Octoknema","klaineana","Octoknema klaineana","Pierre","CR",31.44,10,35,19,"tree",2400260
"23","191150-2","Petenaeaceae","Petenaea","cordata","Petenaea cordata","Lundell","EN",28.84,3,57.32,9,"tree",519397
"24","88417-1","Araceae","Pseudohydrosme","buettneri","Pseudohydrosme buettneri","Engl.","Threatened",31.46,21,82.17,191,"tuberous geophyte",166309
"25","88418-1","Araceae","Pseudohydrosme","gabunensis","Pseudohydrosme gabunensis","Engl.","EN",36.83,18,75.9,4,"tuberous geophyte",166310
