,Infraspecific,Specific,Infrageneric,Generic,Infrafamilial,Familial,Total,year
nom. nov**,6,175,-,5,1,-,187,2024
comb. nov*,341,1771,62,10,3,-,2187,2024
tax. nov,145,2044,44,115,85,-,2433,2024
nom. nov**,2,214,-,4,-,-,220,2023
comb. nov*,406,2570,68,12,4,-,3060,2023
tax. nov,178,2163,75,113,29,3,2561,2023
nom. nov**,7,110,4,9,-,-,130,2022
comb. nov*,433,2161,66,8,-,-,2668,2022
tax. nov,209,2597,115,106,35,-,3062,2022
nom. nov**,4,250,1,10,1,-,266,2021
comb. nov*,539,2316,70,7,4,-,2936,2021
tax. nov,196,2465,93,86,29,-,2869,2021
nom. nov**,7,179,1,8,-,-,195,2020
comb. nov*,599,2467,93,6,-,-,3165,2020
tax. nov,250,2709,123,151,52,1,3286,2020
